,uprn,class,parent_uprn,latitude,longitude,country,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,street_description,dependent_locality,locality,town_name,administrative_area,post_town,postcode,postcode_locator,parsed_address
4235258,48130313,CI04,48100113,51.3937314,-0.1652894,E,,UNIT 3,ABBEY INDUSTRIAL ESTATE,24,,,,,UNIT 3,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 3, ABBEY INDUSTRIAL ESTATE, 24, UNIT 3, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4241768,10025176566,CU01,,51.3935371,-0.1673843,E,,,,<NA>,,,,,,,,,,"ELECTRICITY SUB STATION 14M FROM REICHHOLD UK LTD, 54 WILLOW LANE 32M FROM WILLOW LANE",WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"ELECTRICITY SUB STATION 14M FROM REICHHOLD UK LTD, 54 WILLOW LANE 32M FROM WILLOW LANE, WILLOW LANE"
4243374,48103863,CI04,48100113,51.3935661,-0.165066,E,,,,<NA>,,,,,UNIT 5B,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"UNIT 5B, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4276066,48103862,CI04,48100113,51.3936305,-0.165164,E,,UNIT 5A,ABBEY INDUSTRIAL ESTATE,24,,,,,UNIT 5A,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 5A, ABBEY INDUSTRIAL ESTATE, 24, UNIT 5A, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4306107,10094255221,CO01,48100113,51.3937604,-0.1659926,E,,UNIT 13,ABBEY INDUSTRIAL ESTATE,24,,,,,ALLEGIANCE CUSTOMS LIMITED,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 13, ABBEY INDUSTRIAL ESTATE, 24, ALLEGIANCE CUSTOMS LIMITED, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4318686,48100119,CI04,48100113,51.393635,-0.1660263,E,,UNIT 6,ABBEY INDUSTRIAL ESTATE,24,,,,,UNIT 6,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 6, ABBEY INDUSTRIAL ESTATE, 24, UNIT 6, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4318890,48100117,CI04,48100113,51.3935097,-0.1649101,E,,UNIT 4,ABBEY INDUSTRIAL ESTATE,24,,,,,UNIT 4,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 4, ABBEY INDUSTRIAL ESTATE, 24, UNIT 4, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4336282,48100126,CI04,48100113,51.3939262,-0.1656697,E,,UNIT 13,ABBEY INDUSTRIAL ESTATE,24,,,,,UNIT 13,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 13, ABBEY INDUSTRIAL ESTATE, 24, UNIT 13, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4355691,10025176567,CU01,,51.3948938,-0.1670785,E,,,,<NA>,,,,,,,,,,"ELECTRICITY SUB STATION 6M FROM T W OUTSOURCING, 55 WILLOW LANE 20M FROM WILLOW LANE",WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"ELECTRICITY SUB STATION 6M FROM T W OUTSOURCING, 55 WILLOW LANE 20M FROM WILLOW LANE, WILLOW LANE"
4376028,10015711962,OI07,,51.3935346,-0.1664106,E,,,,<NA>,,,,,,,,,,"TANK 29M FROM UNIT 6, ABBEY INDUSTRIAL ESTATE, WILLOW LANE 66M FROM UNNAMED ROAD",WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"TANK 29M FROM UNIT 6, ABBEY INDUSTRIAL ESTATE, WILLOW LANE 66M FROM UNNAMED ROAD, WILLOW LANE"
4377598,48115054,CI03,48100113,51.3933759,-0.1646664,E,,UNIT 2A,ABBEY INDUSTRIAL ESTATE,24,,,,,UNIT 2,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 2A, ABBEY INDUSTRIAL ESTATE, 24, UNIT 2, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4380973,48119508,LD01,,51.392823,-0.1635577,E,,,,<NA>,,,,,,,,,,LAND ADJACENT TO 3 TO 9,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"LAND ADJACENT TO 3 TO 9, WILLOW LANE"
4387310,10015721456,OI07,,51.3937648,-0.1672586,E,,,,<NA>,,,,,,,,,,"TANK 40M FROM REICHHOLD UK LTD, 54 WILLOW LANE 46M FROM WILLOW LANE",WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"TANK 40M FROM REICHHOLD UK LTD, 54 WILLOW LANE 46M FROM WILLOW LANE, WILLOW LANE"
4393602,48100123,CI04,48100113,51.3936959,-0.1647555,E,,UNIT 8-10,,24,,,,,PLOT 9,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 8-10, 24, PLOT 9, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
4423917,48100120,CI04,48100113,51.3939467,-0.165252,E,,UNIT 7,ABBEY INDUSTRIAL ESTATE,24,,,,,UNIT 7,,,,,ABBEY INDUSTRIAL ESTATE,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 7, ABBEY INDUSTRIAL ESTATE, 24, UNIT 7, ABBEY INDUSTRIAL ESTATE, WILLOW LANE"
