uprn,class,parent_uprn,latitude,longitude,country,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,street_description,dependent_locality,locality,town_name,administrative_area,post_town,postcode,postcode_locator,parsed_address1,parsed_address2
5300082040,CR,10012789658,51.562244,-0.1096482,E,0,0,0,<NA>,0,0,0,0,SHOP,202,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"SHOP, 202, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612634,C,5300082081,51.5626754,-0.1085194,E,0,0,0,<NA>,0,0,0,0,UNIT 2B,226,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 2B, 226, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10090549216,CC05,5300101309,51.5628784,-0.1082801,E,0,0,0,<NA>,0,0,0,0,PUBLIC TOILETS OUTSIDE,232,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"PUBLIC TOILETS OUTSIDE, 232, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10023223453,PP,0,51.5620434,-0.1100316,E,0,0,190A,<NA>,0,0,0,0,0,190,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"190, SEVEN SISTERS ROAD","190A, SEVEN SISTERS ROAD"
10025569324,CU11,0,51.5627195,-0.108807,E,0,0,0,<NA>,0,0,0,0,0,0,0,0,0,"PUBLIC TELEPHONE 13M FROM BIG ISSUE, 222 SEVEN SISTERS ROAD 7M FROM A503",SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"PUBLIC TELEPHONE 13M FROM BIG ISSUE, 222 SEVEN SISTERS ROAD 7M FROM A503, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612921,C,10001295364,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,ROOM 1,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"ROOM 1, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10093623323,PP,0,51.5621848,-0.1098815,E,0,0,0,<NA>,0,0,0,0,0,196,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"196, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612922,C,10001295364,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,ROOM 2,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"ROOM 2, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10091004607,CO,5300082042,51.5622519,-0.1095757,E,0,0,0,<NA>,0,0,0,0,BASEMENT FLOOR,204,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"BASEMENT FLOOR, 204, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612925,C,10001295364,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,ROOM 5,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"ROOM 5, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
5300082075,L,0,51.5625803,-0.1087542,E,0,0,0,<NA>,0,0,0,0,0,220,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"220, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
5300082073,X,0,51.5625635,-0.108827,E,0,0,0,<NA>,0,0,0,0,0,218,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"218, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094611768,C,10094611763,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,UNIT 5,228,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 5, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612270,C,10012793049,51.5622106,-0.1098083,E,0,0,0,<NA>,0,0,0,0,BASEMENT AND GROUND LEFT,198,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"BASEMENT AND GROUND LEFT, 198, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
5300082026,PP,0,51.5621683,-0.1099687,E,0,0,0,<NA>,0,0,0,0,0,194,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"194, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094611764,C,10094611763,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,UNIT 1,228,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 1, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10008978716,X,5300082037,51.5622182,-0.1097214,E,0,0,0,<NA>,0,0,0,0,BASEMENT,200,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"BASEMENT, 200, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10091003514,PP,0,51.5623415,-0.1095576,E,0,0,0,<NA>,0,0,0,0,0,206,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"206, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612269,C,10012793049,51.5622106,-0.1098083,E,0,0,0,<NA>,0,0,0,0,BASEMENT AND GROUND RIGHT,198,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"BASEMENT AND GROUND RIGHT, 198, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612920,C,10001295364,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,PART LOWER GROUND,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"PART LOWER GROUND, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10090549215,ZW,5300101309,51.5628028,-0.1080524,E,0,0,RAINBOW THEATRE 232-238,<NA>,0,0,0,0,GROUND AND FIRST FLOORS,232,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"GROUND AND FIRST FLOORS, 232, SEVEN SISTERS ROAD","RAINBOW THEATRE 232-238, SEVEN SISTERS ROAD"
10094609267,PP,0,51.5626243,-0.1086946,E,0,0,222A,<NA>,0,0,0,0,0,222,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"222, SEVEN SISTERS ROAD","222A, SEVEN SISTERS ROAD"
